"yine";"spanish";"source";"reason"
"Kachinjiwunno";"Me duele la cabeza.";"diccionario_virtual_yine";"token_length"
"Mgenoklu";"Cuando el armadillo tiene miedo, se hace bolita para que no le reconozca el tigre.";"diccionario_virtual_yine";"token_length"
"Nutgaksojitana";"Me di un golpe en mi codo.";"diccionario_virtual_yine";"token_length"
"Nuylastatkana";"Me golpearon en mi pecho.";"diccionario_virtual_yine";"token_length"
"Kaswayginno";"Mi muela está con caries.";"diccionario_virtual_yine";"token_length"
"Ptomyojchi wyonawatya";"Escribimos con las yemas de los dedos de la mano.";"diccionario_virtual_yine";"length_ratio"
"Papokchi yatkana.";"porque el Hijo del hombre no ha venido para perder las almas de los hombres sino para salvarlas. Y ellos fueron a otra ciudad pequeña.";"bible";"length_ratio"
"Giyagni wyowjeyempotutana. Waleprika ruknopjegawunnutanatkana.";"Y, aún luchando contra la tormenta con todas nuestras fuerzas, el día después de que empezaron a sacar los productos del barco;";"bible";"length_ratio"
"Ptowrunanuka putaka gijixipta rapukote.";"Pones todas las cosas bajo sus pies. Porque al hacer al hombre el gobernante sobre todas las cosas, Dios no puso nada fuera de su autoridad; aunque ahora no vemos todo debajo de él.";"bible";"length_ratio"
"Wgenchimkani, seyni salewninrikaka chinanu yijnaklu rasruga.";"Y a pesar de que él era un Hijo, a través del dolor que sufrió, el conocimiento vino a él de lo que era estar bajo las órdenes de Dios;";"bible";"length_ratio"
"Gishinikmolkakgognenatachinepgi.";"Continúa amando a tus hermanos en la fe.";"bible";"length_ratio"
"Seyni Gitsrukaachi tokanu gwagognenatachrini.";"Pero la palabra del Señor es eterna. Y esta es la palabra de las buenas nuevas que se te ha anunciado.";"bible";"length_ratio"
"Sotlu gitspetkaluru, sotlu gijrukikwaka. Rutakikowakna rutspetyana";"Y, una piedra de tropiezo, una roca que hace caer; la palabra es la causa de su caída, porque van en contra de ella, y este fue el propósito de Dios.";"bible";"length_ratio"
"Tyekaka nyonyegitgi gyokwitjenmakapiranaya.";"Les escribo estas cosas acerca de aquellos cuyo propósito es que ustedes puedan ser expulsado del camino verdadero.";"bible";"length_ratio"
"Wa kajnakopnalu yijnakotanru wa Giwekikaluru chinyawakna wa gapatjetachinkaka.";"El que tiene oído, que oiga lo que el Espíritu dice a las iglesias.";"bible";"duplicate"
