"yine";"spanish";"source";"suspect_reason"
"Yanshinikanyeginatinri, Gitsrukaachitowreru gipgujewnayegitlu rupnawleya. Wane chinru, ""Gosi, Tawiklopisha, gi pika gwaletanro pganunropa Mariya. Gi rixanu wala gwiyachri Giwekikaluru Kpashiri chinanni.";"Pero cuando pensaba en estas cosas, un ángel del Señor vino a él en sueños, y le dijo: José, hijo de David, no temas tomar a María por esposa. porque el hijo que va a tener es del Espíritu Santo.";"bible";"unbalanced_quotes"
"Wanna wane china, ""Wetle, Gotechijne. Gi rixanu wane chinyongatka tokanchi geneklewatachriya:";"Y ellos le dijeron: En Belén de Judea; porque así está escrito en los escritos del profeta,";"bible";"unbalanced_quotes"
"Wane china, ""Genshinikanutanu, gi rixanu tengogne pogirewatyawaka gi gowukatka.";"Diciendo: arrepiéntanse; porque el reino de los cielos está cerca.";"bible";"unbalanced_quotes"
"Gixo Gwariseyone ga wa Sariseyone retinitka Gwa katlewatyawaka ginachine, wane chinna, ""¡Gimnu pixkalungi! ¿Katu yimakgi gasukyegityawaklu jgekanchipa?";"Pero cuando vio que algunos de los fariseos y saduceos venían a su bautismo, les dijo: generación de serpientes, ¿Quien les enseñó de huir de la ira venidera?";"bible";"unbalanced_quotes"
"Wane koxa china Gwa, ""Gita galikakni katgi gonuya genshinikanutinri chinanu. Ga wa najxigi ginachri gita pnute muchkonurutu. Gi wa gita gimukluni nanikyaplu yoshmaklejixi. Wale katangi Giwekikaluru Kpashiriya ga wa xirnachriya.";"En verdad, les doy el bautismo de agua a aquellos de ustedes cuyos corazones han cambiado; pero el que viene después de mí es más poderoso que yo, cuyo calzado no soy digno de llevar: él les dará el bautismo con el Espíritu Santo y con fuego:";"bible";"unbalanced_quotes"
"Wane china, ""Gixa yijnakotlu wa tsrunni wane chinikowaka, 'Gi puylatanru yineru,' ga wa 'Girukokta giylatlu yineru rumkata giklukanuwnayegjixkota.'";"Saben que en tiempos antiguos se dijo, no matarás; y, el que mata será culpable de juicio :";"bible";"unbalanced_quotes"
"Geso gomkagi wane chinretna, ""Gixa yijnakotlu wa tsrunni chinikowaka: Gi pumopatlewatanu.";"Han sabido que se dijo: No cometerás adulterio.";"bible";"unbalanced_quotes"
"Wane chinna, ""Girukokta giknokagnunrota, renekanro kiruka ma ganunrotyanpatkalo.";"Una vez más, se dijo: Quienquiera que rechace a su esposa tiene que darle una declaración de divorcio por escrito:";"bible";"unbalanced_quotes"
"Geso gomkagi wane chinretna, ""Ggirukotinwa yine getanuya. Gi wa poyagkakachinepgi wanna getyapgi. Wane gixini, gi wa rapnutanungi Giru tengogne Gajeru.";"Tengan cuidado de no hacer sus buenas obras delante de los hombres, para ser vistos por ellos; de otra manera no tendrán recompensa de su Padre que está en el cielo.";"bible";"unbalanced_quotes"
"Geso gomkagi wane chinretna, ""Wa gogajirewatinipa gi wa sanowashatachine pixka gixgojitanu wamonuwnagojitachine. Gi rixanu gektu rixgojitnawana wa yine getyapna gogajirewatachine gixyawakako. Galikakni wane nchingi rapnutkatkana.";"Y cuando ayunen, no estén con cara triste como los hipócritas. Porque van con aspecto triste, para que los hombres vean que están ayunando. De cierto les digo que ellos tienen ya su recompensa.";"bible";"unbalanced_quotes"
"Geso gomkagi wane chinretna, ""Gi wa ruklukanuwna nchinyegitanru satu, gma muklukanuwnayegjixikotupa.";"No seas juez de los demás, y no serás juzgado.";"bible";"unbalanced_quotes"
"Geso gomkagi wane chinretna, ""Ggirukotinwa wannaya tokanchi geneklewatachine gixashatachine, ginyegitjene gowegane pixka gixamkatachine, seyni gitokoya kewetnane kmatsurune pixkalunni.";"Cuidense de los falsos profetas, que vienen a ustedes con vestiduras de ovejas, pero por dentro son lobos rapaces.";"bible";"unbalanced_quotes"
"Ksolaloteru gigita. Wane china, ""Gitsrukaachi, gi numukluyi wa nopji washrempuko papokinripa. Seyni wane pchinatokanushatanu. Ntseruwakle gitukanutka.";"Y el capitán en respuesta dijo: Señor, no soy digno para que entres bajo mi techo; pero solo di la palabra, y mi siervo quedará sano.";"bible";"unbalanced_quotes"
"Geso yijnakotinri, ruglajita. Wane chinna romkagitjene: ""Galikaka wane nchingi, gi satuna Gisrayiline yegi nukshikyalu tye pixkalutu galixlewlu.";"Y cuando estas palabras llegaron a los oídos de Jesús, se sorprendió, y dijo a los que le seguían: En verdad les digo que no he visto tanta fe, ni aun en Israel.";"bible";"unbalanced_quotes"
"Rumatanshinikanutinna Geso, wane chinna, ""¿Klu chinau mugletu gyanshinikanuta gajiya?";"Y Jesús, sabiendo lo que estaba en sus mentes, dijo: ¿Por qué tienen malos pensamientos?";"bible";"unbalanced_quotes"
"Seyni wa gimatyaplu wa Gita Yineru Wgenno tyechijne gitaakalurno kaspukmukochirewlewatachripno"" —giyagni wane chinru giktegachri, ""Palnanutka. Pwanutkalu pujeko. Pyanutka pupji.""";"Pero para que sepan que en la tierra el Hijo del hombre tiene autoridad para el perdón de los pecados, (entonces dijo al hombre enfermo): levántate, toma tu cama y vete a tu casa.";"bible";"unbalanced_quotes"
"Yijnakotinitka Geso, wane china, ""Wa gichkolune gi ralukluna kpinrewakleru, seyni wa yayixachinena galikaka.";"Al oír esto, dijo: Los que están sanos no necesitan un médico, sino los que están enfermos.";"bible";"unbalanced_quotes"
"Geso wane chinna, ""Gi rumkata wamonuwnaletna wa kashimyolu getachine wannayma rawinikopshini gnunrowatachri, wa xani pixka Gita gimwakopshinna nyimaklene. Seyni runanu pagogne wa gnunrowatachri konkoklunpatka wannayegiya. Waneklu rogajirewatanna wanna.";"Y Jesús les dijo: ¿Los amigos del recién casado estarán tristes mientras él esté con ellos? Pero vendrán días cuando les quitarán al esposo, entonces podrán ayunar.";"bible";"unbalanced_quotes"
"Giyagni wane chinna yimaklene, ""Galikakni gixlu jirgakalurupa. Seyni wa kamrurewaklerune gi gixna.";"Entonces dijo a sus discípulos: Hay mucho grano, pero no hay suficientes hombres para recogerlo.";"bible";"unbalanced_quotes"
"Geso yokanatatkana nyi pamole gepi. Wane china yokanretna, ""Gi wa payingapoko gyanu. Gi wa Samaritane pokchiko gapokanu.";"Estos doce envió Jesús y les dio órdenes, diciendo: No vayan entre los gentiles, ni a ninguna ciudad de Samaria,";"bible";"unbalanced_quotes"
