"yine";"spanish";"source"
"Gewitsa pyonatinri wa a yiniwakyachri yonga tokanchi.";"Escribir la letra “a” en esta línea.";"diccionario_virtual_yine"
"Tye yonga tokanchi yinuwaka yonretika Chawo.";"Con esta letra se empieza escribir el nombre de shansho (chawo).";"diccionario_virtual_yine"
"Chalkatu putakamtanru nikchi.";"La carne le dejas guardando en la malla de la cocina.";"diccionario_virtual_yine"
"Chalugata koko Rowe Miyariya skitgaya.";"Mi tío Rubén se fue a tarrafear en la boca de la quebrada de Miaría.";"diccionario_virtual_yine"
"Jimluru ponikoypotlu wa champira.";"La chambira es muy rica en asado.";"diccionario_virtual_yine"
"Gitsrukachi chaniklu totu.";"El jefe de la comunidad le invitó al abuelo.";"diccionario_virtual_yine"
"Yojijpa gixkalurnu charawa.";"Del achacubo se hace puré de yuca.";"diccionario_virtual_yine"
"Charawa yonga nyona koshmatetanru noturu.";"La cushma de mi hijo la voy a pintar con el diseño de achacubo.";"diccionario_virtual_yine"
"Mama, chawo shikawlata tsruga getkopni.";"Mama, está cantando shansho; ahora sí viene la creciente del río.";"diccionario_virtual_yine"
"Nunro gi wa yangalewata.";"Mi madre no riñe.";"diccionario_virtual_yine"
"Gepi wtokanu yogna yinuwakyachrini chi.";"La chi es la segunda letra de nuestro alfabeto.";"diccionario_virtual_yine"
"Chichipagiyma tsagamyonanumta jiro, tjiwetini.";"La abuela se va frotando la mano con la ceniza, cuando hila.";"diccionario_virtual_yine"
"Nunro chigewata.";"Mi madre nos gritó.";"diccionario_virtual_yine"
"Pejnuko giwekachri pagixanu tye chijne gwachinni.";"Todos los seres vivientes viven en esta tierra.";"diccionario_virtual_yine"
"Jiro chikaklu tkojitale.Chikaklu tkojitale Jiro.";"Mi abuela colgó su canasta.";"diccionario_virtual_yine"
"Kashegiru mpuko nchiklewnini.";"Tomaré sombra debajo de un árbol.";"diccionario_virtual_yine"
"Wa koko tomasi chinashata.";"Al tío Tomás le gusta mentir.";"diccionario_virtual_yine"
"Loni gogne chininri wane nyanu.";"El día lunes fijaré la fecha para irme.";"diccionario_virtual_yine"
"Yoglolu chinoleta koko.";"Cuando a mi tío le ponen inyección, se siente muy adolorido.";"diccionario_virtual_yine"
"Gerotoko tnikika chinopu";"El guineo se come crudo.";"diccionario_virtual_yine"
"Wale wane china: xakoka gi wa tukasreta gyanu kyowikowakni.";"Él dice que no pueden irse hacia ese lugar porque es zona peligrosa.";"diccionario_virtual_yine"
"Kachino ygalenno.";"Me duele el ojo.";"diccionario_virtual_yine"
"Kachino yginru noturni.";"A mi hijo le duele la muela.";"diccionario_virtual_yine"
"Chinyegiwata tsru.";"Al anciano le duele su cuerpo.";"diccionario_virtual_yine"
"Chipatlerni kosojita koko.";"Mi tío mató al tucán con chinto.";"diccionario_virtual_yine"
"Rutaklekajiruji chipeta.";"Él mezquina sus frutas para coger.";"diccionario_virtual_yine"
"Nchiptapnawa wale chinanu gi wa nujruka gitskata.";"Me he retenido ; por eso, no me caí en el barranco.";"diccionario_virtual_yine"
"Nyamtmakatka seyni nchiptapnawa.";"Estuve yendo, pero me detuve.";"diccionario_virtual_yine"
"Chiretu muna yopnata kokaskonru.";"El pájaro carpintero hace hueco en el árbol de la pona.";"diccionario_virtual_yine"
"Chiretu jrimta nyopojitya, shijiji nutakyawakapa.";"Con la punta de pona hago hoyos para sembrar maíz.";"diccionario_virtual_yine"
"Chiyagata mturu gi rixanu nachnenru.";"El bebé llora de hambre.";"diccionario_virtual_yine"
"Satu kgimeklerni gijpaga chiyletana.";"El borracho está mal de su pulmón.";"diccionario_virtual_yine"
"Niikaluru chiyijretanno.";"Eructé por la comida.";"diccionario_virtual_yine"
"Nstonre nkamruta wale nchiyotanu.";"Estoy confeccionando mi falda; ahora la voy a fruncir.";"diccionario_virtual_yine"
"Kachiyo ygalenatkayi.";"Ya tienes patas de gallo.";"diccionario_virtual_yine"
"Kiglerni chkajruga, wugona yayixle pinitachrini.";"El infusión de matico es buena para curar la infección de estómago.";"diccionario_virtual_yine"
"Chkajru makchakmenu rutkana noturni.";"A mi hijo le convidaron chkajru.";"diccionario_virtual_yine"
"Gikchapi yegi kachinoyanru noturni.";"Mi hijo está con dolor de intestino.";"diccionario_virtual_yine"
"Kiglerpotni chkotmashire, kachingapuru pinitachrini.";"El peine de mono es muy bueno para curar el dolor de hueso.";"diccionario_virtual_yine"
"Kashegiru rukripjeta chkotu.";"El machín negro se cuelga en los árboles.";"diccionario_virtual_yine"
"Papa nanjitya gichlaje.";"A mi padre le compré su pantalón.";"diccionario_virtual_yine"
"Chlashchistoji tutaka makloji.";"La señorita se puso el short.";"diccionario_virtual_yine"
"Nepuro gishpaka wgeneta gi wa kagatnunro seyni chochgapa nwapyatkalo.";"Mi hermana acaba de dar a luz, no tiene leche, pero mi mamá se fue a traer la planta chochgapa.";"diccionario_virtual_yine"
"Rapga spuwnaga netamtyalo chomawari.";"En la rivera de la quebrada vi al timelo negro.";"diccionario_virtual_yine"
"Chopijpa tkamruta jiro Rosawra.";"La abuela Rosaura está preparando mazamorra.";"diccionario_virtual_yine"
"Nunro chopijpatlo kayonalu.";"Mi madre hace mazamorra de doncella.";"diccionario_virtual_yine"
"Tye gogne kashichkanna kachowgurunni satu gishanrewatikowapji gima chowgutyanina.";"Hoy día fueron capturados unos ladrones que estaban robando en una tienda.";"diccionario_virtual_yine"
"Kajirujine gosha gajeru niika chpichpi.";"El huanchaco negro come frutos del monte.";"diccionario_virtual_yine"
"Tsru kashegiru rawa chririchriri.";"El pájaro blanco de las alturas está en un árbol grande.";"diccionario_virtual_yine"
"Chiretu rawa wgeneta chowretete.";"En el árbol de la pona, el carpintero castaño grande pone sus crías.";"diccionario_virtual_yine"
"Weni spuwnaga netamtyalo chwichwi.";"En la orilla del río vi al timelo acuático.";"diccionario_virtual_yine"
"Pyonatanru xani wa e yonga tokanchi, satu yapkakluyma.";"Escribe un ejemplo con la letra e.";"diccionario_virtual_yine"
"Retgolena.";"Su tos (de ellos o de ellas).";"diccionario_virtual_yine"
"Gixo tye yonga tokanchi g yinuwakyachri pyonatanu.";"Escribe muchas palabras que empiezan con la letra g.";"diccionario_virtual_yine"
"Muchinanu wtokanu yogna yinuwakyachrini ga.";"La ga es la primera letra de nuestro alfabeto.";"diccionario_virtual_yine"
"Satu mturu mshinikanutu gachichotka.";"A un niño malcriado se lo ishanguea.";"diccionario_virtual_yine"
"Katslusha nwapyalo gachichoji nshicho nutanropa.";"Al cañabraval me fui a traer la amasisa con flor roja para convidar a mi hija.";"diccionario_virtual_yine"
"Gepi kilo gachijri nanjitapanu.";"Me iré a comprar dos kilos de carachama.";"diccionario_virtual_yine"
"Wujiwutsagachiklu mso.";"Nuestro pelo absorbe el tinte del huito.";"diccionario_virtual_yine"
"Totukta jirgamtanro gachotsagni wala renekamtno.";"Mi abuelo había cosechado la fruta de gachotsagi; eso me invitó.";"diccionario_virtual_yine"
"Serowatka gachotu, yechikawa wjirgapanru.";"La tarichuela ya está madura; mañana vamos a cogerla.";"diccionario_virtual_yine"
"Tsruygirni wa gagamta.";"La chambira es un dientón.";"diccionario_virtual_yine"
"Totu gaplikakna gimekagine gagapichrayma.";"El abuelo hizo purgar a sus nietos con estrella huasca.";"diccionario_virtual_yine"
"Kapetgogne rapokamta tsru kannipgalu wale kopkolikamtanru gagmunni.";"Ayer pasó un viento huracanado que tumbó un árbol.";"diccionario_virtual_yine"
"Numjikle poga nutmotmo gajpotuta.";"Mi corazón me late muy rápido por una emoción.";"diccionario_virtual_yine"
